,Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
Unnamed: 0,1.0,0.05213476627065532,0.05472615110707361,0.023292268309941588,0.03079379419225378,0.9999324284948351,0.013957730430267552,0.24592276136420324,0.04980580406782773,0.06872140708417475,0.037155804242336485,0.05573559438473372,0.06556100253783885,0.0005454859032777335,0.004506977613813472,0.11653281611552631,0.13561373024917034,0.13169811114117605,0.079949940546741,0.11845610237678124,0.06416902690991678,0.0003380083115431842,0.05737751788929547,0.042446441195056264,0.03348536312623118,0.04302055329495854,0.02146328558037494,0.0022493827776608345,0.004805726881484222,0.001366833141727491,0.007075521201655723,0.028278735953909465,0.04263969041242014,0.07513111348517958,0.06502026774574783,0.02613243617187999,0.0042244827200345015,0.04092876245061355,0.006242516813280845,0.9999324284948351,0.04005701193254431,0.13404414505395204,0.07656838229200351,0.13528909276187165,0.09092203794736803,0.08112284941689944,0.026712999948274557,0.02601912984306865,0.06872140708417486
state_code,0.05213476627065532,1.0,0.3464021970773886,0.5536038079264252,0.5104160627414644,0.05268594274410141,0.2170443768030671,0.17157165759658252,0.04043650407640537,0.07834125723654438,0.07591595959555732,0.0210901718700771,0.06448637640925997,0.06304499819350239,0.04412299140824173,0.07678018694049583,0.09079374938985874,0.07858988742617697,0.09108633185699211,0.042807377914737106,0.05122582479698932,0.019174798158708557,0.9948693767527201,0.8217418408421117,0.4268602501424601,0.04936517694362371,0.3811832677680215,0.4372412189789525,0.0024966075828738122,0.023389176285349943,0.0036208253044913872,0.027778539686926555,0.032891504883005136,0.012464862090112635,0.0014844081897206645,0.05115269477360775,0.05153340196805695,0.02142029010929908,0.01347903958766369,0.05268594274410141,0.018315352992394777,0.07737238061881019,0.0477770582586724,0.12167201158068618,0.06580509488728628,0.0883546062466274,0.062290437322657655,0.11437513084556065,0.07834125723654436
latitude,0.05472615110707361,0.3464021970773886,1.0,0.36847485113610745,0.19106496923261482,0.05506411812087094,0.035419223246252546,0.049389479100384784,0.054880286733043224,0.04656037245001914,0.010943310104870053,0.0680038355989389,0.03214455366633513,0.03368796951819531,0.04686765719493497,0.04169190589787436,0.07199960815521343,0.054274973856967376,0.039198190209760994,0.0006594220117568516,0.0729414349560259,0.017708338102857702,0.34457222522778075,0.4174705870835415,0.2057473733844046,0.31801472961327903,0.42388789113713,0.33858951220482725,0.02474735045868748,0.0016564471356631824,0.00979857940268595,0.035917256598365636,0.002291154789570368,0.05457544341296643,0.033159596226787914,0.04162754615930238,0.012956424234103689,0.03390520984715186,0.0396561594182372,0.05506411812087094,0.03104452013825976,0.028891038690209613,0.033071605007662486,0.011800956237954881,0.05776224141572402,0.01882500904301562,0.018175763393517317,0.03267465823870845,0.046560372450019184
longitude,0.023292268309941588,0.5536038079264252,0.36847485113610745,1.0,0.8556611972895248,0.023512476946213764,0.2749292576076166,0.24243096506105818,0.02977056712755703,0.036091538638964187,0.0010323774183125113,0.0253871703415719,0.01628095616317019,0.05327547684131563,0.014158244407699331,0.00014764443299522946,0.0516736980633268,0.08770063161432667,0.0731967537625035,0.02244656929925904,0.017969534770296544,0.01642013791803287,0.5494243529060292,0.7801220989270499,0.4498707372355609,0.4410307817644908,0.0661994024330571,0.25780098701183873,0.01328347824578295,0.024856691258985823,0.02202362883866371,0.013527159024985294,0.0032439623365067946,0.03999765988054905,0.02556905663978288,0.0430919091014195,0.028075392928819755,0.02124415548274863,0.046559871413079386,0.023512476946213764,0.02485162072756176,0.10200077801699645,0.06628797932852733,0.0670169997539495,0.042309068827127934,0.042854241243169375,0.04519081956424709,0.09191315862195848,0.03609153863896414
zip_code,0.03079379419225378,0.5104160627414644,0.19106496923261482,0.8556611972895248,1.0,0.030989214049433507,0.2821119285843092,0.2554887365944807,0.04367860515475297,0.021487612566807406,0.06055532601960714,0.03454102574501911,0.0015016481391772482,0.03807880714909533,0.06206316992773813,0.0444690230329098,0.03530416079362504,0.0705115675634249,0.02840049489685635,0.028051108118185432,0.05091431933668828,0.044656967972382826,0.5073681025296358,0.7364672623732604,0.6218023690793184,0.3923805216439178,0.05961145276538954,0.10921528082583792,0.013283943047386452,0.002278792943320583,0.013814371906751777,0.01536643721527176,0.02459729811403899,0.04676396238877471,0.034719732303830374,0.052912929577148535,0.005708122175119779,0.021076394066178592,0.06832382932750623,0.030989214049433507,0.018437884044234937,0.12537616620300868,0.01656051161443695,0.04859906016589104,0.04997121196247592,0.06857867455062876,0.025869916492272518,0.06775573603210762,0.021487612566807333
id,0.9999324284948351,0.05268594274410141,0.05506411812087094,0.023512476946213764,0.030989214049433507,1.0,0.013579765377556008,0.24426633993193408,0.04989992603227008,0.0678969448993292,0.03742308347625277,0.0549807312058572,0.06555380447692112,0.00019716707739505992,0.004897536352028802,0.11683413076676,0.13522109318649997,0.13192629533126013,0.07957767189769707,0.11834805779009536,0.06425834524975896,0.00012586732204019575,0.05794646285157566,0.042823529379232256,0.03400295538817225,0.04249827069102519,0.021509274609485183,0.0026735365766388124,0.005671229843872514,0.000997040084101088,0.006521366548604511,0.028214748258677088,0.04291212768270547,0.07433042404211265,0.06494680257902029,0.025869098730563027,0.00391135958874726,0.04116716781473971,0.006442454096363562,1.0,0.040308672575281305,0.13403089728522,0.07654741391520346,0.13490749738517574,0.09094940157229177,0.08118994024627224,0.02651464464349257,0.025578243277741348,0.06789694489932925
city,0.013957730430267552,0.2170443768030671,0.035419223246252546,0.2749292576076166,0.2821119285843092,0.013579765377556008,1.0,0.42273331648025975,0.019158942551351282,0.00042377640040157274,0.054241790094140784,0.0030294659958653024,0.010103370862806786,0.007743400531477609,0.037569118585841874,0.07550277150653387,0.005982429611698065,0.002698883600758572,0.05388287977087852,0.07771762097207896,0.027347453501764908,0.012071946100397864,0.21696527026007112,0.3535135325204181,0.02971914152921013,0.21541127305291058,0.30018978328748086,0.148515352769609,0.02157211764465247,0.002847059428556538,0.07051508392816477,0.029365017838079214,0.051041831958425,0.0764926042808473,0.01012866679633238,0.02216851700376313,0.0056964957281962865,0.11039974687816692,0.027945064724173383,0.01357976537755601,0.08138656328584308,0.06812792052470487,0.023003365601309122,0.004274337929577052,0.01650265464873597,0.00674729718729231,0.012827046414399324,0.010255284306393194,0.0004237764004015163
Unnamed: 6,0.24592276136420324,0.17157165759658252,0.049389479100384784,0.24243096506105818,0.2554887365944807,0.24426633993193408,0.42273331648025975,1.0,0.014017283382065055,0.12209670204671638,0.02664533333997724,0.05362305582202652,0.016305277100374316,0.009029677487085233,0.05148510960649425,0.03491771403917433,0.11086475683324329,0.22539850744192685,0.18839118325760038,0.1090469229222867,0.03900410934880543,0.16624804465675003,0.16871300268934525,0.2405931640246123,0.09719014913660683,0.14824080728282127,0.10592391316193923,0.06128745496449887,0.0004256625540013467,0.0006755853072375365,0.05165934702885927,0.027735042444988207,0.01929243098496448,0.08667541812912155,0.05383445660035716,0.007602500388615744,0.022803280051685686,0.0211735591403614,0.07037111365758618,0.24426633993193395,0.017569227109422356,0.060083438644494065,0.17803236080200044,0.13595567881548087,0.12075218289084111,0.0508457326684917,0.028462574270820686,0.07394043073130799,0.1220967020467165
name,0.04980580406782773,0.04043650407640537,0.054880286733043224,0.02977056712755703,0.04367860515475297,0.04989992603227008,0.019158942551351282,0.014017283382065055,1.0,0.02309900902382769,0.0657289425028613,0.009804915516896965,0.04654991053310456,0.01783193801083976,0.057535199414321204,0.02699910498375938,0.0006269992131126589,0.012406514044559393,0.030612435955676875,0.032600189674642364,0.04360758541655654,0.04261826916950209,0.03681797044693281,0.02468297170453592,0.09758239699169893,0.027798312335635178,0.019935472364576073,0.013351201720347023,0.004177659357180002,0.05116009458907709,0.03677316137365821,0.04849523973046915,0.010800262123029083,0.01902904580379447,0.018524950618167425,0.01066465097210016,0.04863904661181884,0.060668355382020867,0.0012295259996213184,0.04989992603227008,0.051953730873186596,0.008369149134652157,0.04631249556254594,0.01574577804053609,0.01370924609768213,0.04107802328743114,0.012710254114838714,0.033194653443616016,0.023099009023827725
labels,0.06872140708417475,0.07834125723654438,0.04656037245001914,0.036091538638964187,0.021487612566807406,0.0678969448993292,0.00042377640040157274,0.12209670204671638,0.02309900902382769,1.0,0.02599446724306214,0.7956783478023094,0.023407781881499213,0.023741522713313683,0.07563749164834661,0.07373087269351906,0.16227935692664328,0.2658705105325454,0.36043364377099635,0.2060494110303995,0.04017573356693331,0.32826005231691313,0.08265254977796015,0.07721700761508846,0.0599959282870211,0.08173497052375069,0.04530934449379844,0.1690669561975556,0.0037292642476681828,0.012428896614321942,0.0008730593541303165,0.007312472853709293,0.07377229844178095,0.04435485062095593,0.0258927539217619,0.07219320069285776,0.00010430465294687662,0.00237307892735364,0.04240769217030672,0.06789694489932922,0.05651536438024581,0.07284034777005964,0.18430662275442394,0.20825724989959254,0.16590151045907955,0.13994040612339817,0.18599162866024163,0.3106518012598112,0.9999999999999999
